Location,NER Tag,Sentence ID,Sentence,Document ID,Document
Atlanta,CITY,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Georgia,STATE_OR_PROVINCE,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Dixie,LOCATION,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Dixie,LOCATION,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Chicago,CITY,1,"By now in New York City, there 's snow on the ground And out in California, the sunshine 's falling down And, maybe down in Memphis, Graceland 's all in lights And in Atlanta, Georgia, there 's peace on earth tonight[ Chorus] Christmas in Dixie, it 's snowin' in the pines Merry Christmas from Dixie, to everyone tonight It 's windy in Chicago.",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Jackson,CITY,3,"The city 's on the move In Jackson, Mississippi, to Charlotte, Caroline And all across the nation, it 's the peaceful Christmas time[ Chorus] And from Fort Payne, Alabama God bless why'all ... We love ya ... Happy New Year ... Good night Merry Christmas ... Merry Christmas tonight",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Mississippi,STATE_OR_PROVINCE,3,"The city 's on the move In Jackson, Mississippi, to Charlotte, Caroline And all across the nation, it 's the peaceful Christmas time[ Chorus] And from Fort Payne, Alabama God bless why'all ... We love ya ... Happy New Year ... Good night Merry Christmas ... Merry Christmas tonight",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Charlotte,CITY,3,"The city 's on the move In Jackson, Mississippi, to Charlotte, Caroline And all across the nation, it 's the peaceful Christmas time[ Chorus] And from Fort Payne, Alabama God bless why'all ... We love ya ... Happy New Year ... Good night Merry Christmas ... Merry Christmas tonight",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Fort Payne,CITY,3,"The city 's on the move In Jackson, Mississippi, to Charlotte, Caroline And all across the nation, it 's the peaceful Christmas time[ Chorus] And from Fort Payne, Alabama God bless why'all ... We love ya ... Happy New Year ... Good night Merry Christmas ... Merry Christmas tonight",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Alabama,STATE_OR_PROVINCE,3,"The city 's on the move In Jackson, Mississippi, to Charlotte, Caroline And all across the nation, it 's the peaceful Christmas time[ Chorus] And from Fort Payne, Alabama God bless why'all ... We love ya ... Happy New Year ... Good night Merry Christmas ... Merry Christmas tonight",77,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Alabama_Christmas_In_Dixie.txt"")"
Memphis,CITY,2,"me loaned you me brand new car, Said you was goin' for a Sunday drive, Yeah, here it is now four days later, me do n't know if you are dead or alive, me got on the telephone this morning, Put the word out on the street, And me heard you was down in Memphis, With a big man in the driver 's seat.",162,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Allman_Brothers_Band_Low_Down_Dirty_Mean.txt"")"
Rome,CITY,4,There its lie in the fountain Somewhere in the heart of Rome.,227,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Andy_Williams_Three_Coins_In_The_Fountain.txt"")"
Mgm,LOCATION,23,"Welcome to a lovely M- O- V- I- E! Male chorus: Let 's go to the movies Female chorus( same time as guys): 's love to go To rko Columbia Universal Male chorus: Let 's go see the stars Female chorus( simultaneously): Jack Warner and Fred Goldwyn and Mgm and Paramount Both: Dreams of glory, Cast of thousands, Bigger than life.",230,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Annie_Lets_Go_To_The_Movies.txt"")"
Los Gatos,CITY,5,"A sky plane caught fire over Los Gatos canyon Like a fireball of lightning, A sky plane shook all us hills Who are all these friends, all scattered like dry leaves?",238,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arlo_Guthrie_Deportees.txt"")"
Moosejaw,LOCATION,10,"We 'll be bowling in Moosejaw( yeah, yeah) We 'll be bowling in Hickton( yeah, yeah) We 'll be bowling in Gander( yeah, yeah) And in the Kingston Township( yeah, yeah) We 'll be bowling Vancouver, bowling Saskatoon Someday they 'll even be bowling on the moon me said yeah yeah yeah yeah yeah yeah yeah LetWe go bowling LetWe go bowling, got a coupon LetWe go bowling, for free shoes LetWe go bowling LetWe go bowling, letWe go bowling LetWe do it now",259,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Lets_Go_Bowling.txt"")"
Hickton,LOCATION,10,"We 'll be bowling in Moosejaw( yeah, yeah) We 'll be bowling in Hickton( yeah, yeah) We 'll be bowling in Gander( yeah, yeah) And in the Kingston Township( yeah, yeah) We 'll be bowling Vancouver, bowling Saskatoon Someday they 'll even be bowling on the moon me said yeah yeah yeah yeah yeah yeah yeah LetWe go bowling LetWe go bowling, got a coupon LetWe go bowling, for free shoes LetWe go bowling LetWe go bowling, letWe go bowling LetWe do it now",259,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Lets_Go_Bowling.txt"")"
Kingston,CITY,10,"We 'll be bowling in Moosejaw( yeah, yeah) We 'll be bowling in Hickton( yeah, yeah) We 'll be bowling in Gander( yeah, yeah) And in the Kingston Township( yeah, yeah) We 'll be bowling Vancouver, bowling Saskatoon Someday they 'll even be bowling on the moon me said yeah yeah yeah yeah yeah yeah yeah LetWe go bowling LetWe go bowling, got a coupon LetWe go bowling, for free shoes LetWe go bowling LetWe go bowling, letWe go bowling LetWe do it now",259,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Lets_Go_Bowling.txt"")"
Township,LOCATION,10,"We 'll be bowling in Moosejaw( yeah, yeah) We 'll be bowling in Hickton( yeah, yeah) We 'll be bowling in Gander( yeah, yeah) And in the Kingston Township( yeah, yeah) We 'll be bowling Vancouver, bowling Saskatoon Someday they 'll even be bowling on the moon me said yeah yeah yeah yeah yeah yeah yeah LetWe go bowling LetWe go bowling, got a coupon LetWe go bowling, for free shoes LetWe go bowling LetWe go bowling, letWe go bowling LetWe do it now",259,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Lets_Go_Bowling.txt"")"
Vancouver,CITY,10,"We 'll be bowling in Moosejaw( yeah, yeah) We 'll be bowling in Hickton( yeah, yeah) We 'll be bowling in Gander( yeah, yeah) And in the Kingston Township( yeah, yeah) We 'll be bowling Vancouver, bowling Saskatoon Someday they 'll even be bowling on the moon me said yeah yeah yeah yeah yeah yeah yeah LetWe go bowling LetWe go bowling, got a coupon LetWe go bowling, for free shoes LetWe go bowling LetWe go bowling, letWe go bowling LetWe do it now",259,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Lets_Go_Bowling.txt"")"
Saskatoon,CITY,10,"We 'll be bowling in Moosejaw( yeah, yeah) We 'll be bowling in Hickton( yeah, yeah) We 'll be bowling in Gander( yeah, yeah) And in the Kingston Township( yeah, yeah) We 'll be bowling Vancouver, bowling Saskatoon Someday they 'll even be bowling on the moon me said yeah yeah yeah yeah yeah yeah yeah LetWe go bowling LetWe go bowling, got a coupon LetWe go bowling, for free shoes LetWe go bowling LetWe go bowling, letWe go bowling LetWe do it now",259,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Lets_Go_Bowling.txt"")"
Santa,CITY,6,"Oh God, my 'm Santa Claus Oh God, my 'm Santa Claus Oh God, my 'm Santa Claus Oh God, my 'm Santa Claus From this nightmare my finally awake my brain is on fire, my hands they do shake But wait, they 're not hands, they 're cute little paws my 'm the Easter Bunny, my 'm not Santa Claus!",261,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Oh_God,_Im_Santa_Claus.txt"")"
Claus,LOCATION,6,"Oh God, my 'm Santa Claus Oh God, my 'm Santa Claus Oh God, my 'm Santa Claus Oh God, my 'm Santa Claus From this nightmare my finally awake my brain is on fire, my hands they do shake But wait, they 're not hands, they 're cute little paws my 'm the Easter Bunny, my 'm not Santa Claus!",261,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Oh_God,_Im_Santa_Claus.txt"")"
turkey,COUNTRY,1,"The table 's set ant the turkey 's out Christmas is here, let out a shout The family 's gathered all about Christmas, Christmas is here!",262,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_The_Christmas_Song.txt"")"
Saskatchewan,STATE_OR_PROVINCE,3,"The government the answer promised I a measly little sum But I 've got too much pride to end up just another bum Then I thought, who gives a damn if all the jobs are gone, I 'm gon na be a pirate on the river Saskatchewan.",265,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_The_Last_Saskatchewan_Pirate.txt"")"
Prince Albert,CITY,8,"Prince Albert down to Saskatoon, the terror of the sea If you want to reach the Co-op, boy, you got ta get by I!",265,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_The_Last_Saskatchewan_Pirate.txt"")"
Saskatoon,CITY,8,"Prince Albert down to Saskatoon, the terror of the sea If you want to reach the Co-op, boy, you got ta get by I!",265,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_The_Last_Saskatchewan_Pirate.txt"")"
Santa,CITY,11,Santa 's had enough His locks the elves outside His butchers all the reindeer and sells off all their hides His sells His 's shop to Disney and leaves the north pole To go find cheaper labour down in Mexico,266,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Things_Are_Looking_Bad_For_Santa.txt"")"
Mexico,COUNTRY,11,Santa 's had enough His locks the elves outside His butchers all the reindeer and sells off all their hides His sells His 's shop to Disney and leaves the north pole To go find cheaper labour down in Mexico,266,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Arrogant_Worms_Things_Are_Looking_Bad_For_Santa.txt"")"
La,STATE_OR_PROVINCE,1,"La la la, la la la la I know your kind of girl your only care about one thing"" Who your 've seen, or where your 've been?""",278,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Avril_Lavigne_One_Of_Those_Girls.txt"")"
Broadway,LOCATION,1,"On a hill, inside a house in Covewell Reach Stands a man who 's feeling very tired Looking at a song he wrote some time ago Could have made it big inside a Broadway show Every day I go away and find ideas Think I 'll climb on top of somewhere high Could n't I write a song about a man who 's dead?",360,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bee_Gees_Gilbert_Green.txt"")"
Spain,COUNTRY,2,I 'd be an ace in an aeroplane and every year I 'd fly to Spain.,365,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bee_Gees_If_I_Only_Had_My_Mind_On_Something_Else.txt"")"
Brownsville,CITY,2,"Everyone in Brownsville thinks She 's crazy, 'cause She walks to the station with a suitcase in She 's hand.",373,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_Delta_Dawn.txt"")"
Guadalajara,CITY,9,""" So' s 're sittin' at a bar in Guadalajara, in walks a guy with a faraway look in his eyes.",379,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_In_These_Shoes.txt"")"
Miss,STATE_OR_PROVINCE,43,"Let My faith go, Miss M.",384,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_Love_Tko.txt"")"
La,STATE_OR_PROVINCE,15,It 's no . . . La la la la la la la la la la la la La la la la la la la la la You must n't let the horse run away Before You 're gon na close the door.,387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,15,It 's no . . . La la la la la la la la la la la la La la la la la la la la la You must n't let the horse run away Before You 're gon na close the door.,387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,21,It 's no . . . La la la la la la la la la la la La la la la la la la la la la.,387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,21,It 's no . . . La la la la la la la la la la la La la la la la la la la la la.,387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,36,"La la la la la la la la la la la, La la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,36,"La la la la la la la la la la la, La la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,37,"La la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,37,"La la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,38,"La la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,38,"La la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,39,"La la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,39,"La la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,40,"La la la la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
La,STATE_OR_PROVINCE,40,"La la la la la la la la la la la la la la, La la la la la la la la la la.",387,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bette_Midler_No_Jestering.txt"")"
Harlem,LOCATION,1,"Summer night in Harlem, Man it 's really hot!",393,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bill_Withers_Harlem.txt"")"
Harlem,LOCATION,4,"Winter night in Harlem, Oh oh radiator wo n't get hot, And that mean ole landlord He do n't care if I freeze to death or not!",393,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bill_Withers_Harlem.txt"")"
Harlem,LOCATION,5,"Saturday night in Harlem, Ahh every thing 's alright.",393,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bill_Withers_Harlem.txt"")"
Harlem,LOCATION,7,Sunday morning here in Harlem Now every body 's all dressed up.,393,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bill_Withers_Harlem.txt"")"
the holy land,COUNTRY,9,"Our 's crooked delegation Wants a donation To send the preacher to the holy land Hey hey lord honey do n't give You 's money To that lying, cheating man.",393,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bill_Withers_Harlem.txt"")"
Harlem,LOCATION,11,"Saturday night in Harlem, Ahh every thing 's alright.",393,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bill_Withers_Harlem.txt"")"
Miss,STATE_OR_PROVINCE,1,"Miss America sits in the shower She 's plucking hours from the sky Picks up the telephone, into another home Do n't ask me why me do n't mind me do n't mind at all me love only you She 's a well wisher and She wishes you well Wish away, wish away She no jellybean, She a Jemima ho ho Wish away, wish away me do n't mind me do n't mind at all me love only you Here is here and me am here, where are you?",467,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Blur_Miss_America.txt"")"
America,COUNTRY,1,"Miss America sits in the shower She 's plucking hours from the sky Picks up the telephone, into another home Do n't ask me why me do n't mind me do n't mind at all me love only you She 's a well wisher and She wishes you well Wish away, wish away She no jellybean, She a Jemima ho ho Wish away, wish away me do n't mind me do n't mind at all me love only you Here is here and me am here, where are you?",467,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Blur_Miss_America.txt"")"
Kansas,STATE_OR_PROVINCE,4,"My left My 's home in Kansas When My was very young, My landed in the old Northwest, Seattle, Washington Although My 'd a-traveled many miles, My never made a friend, For My could never get along in life With people that My met.",474,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Ballad_Of_Donald_White.txt"")"
Northwest,LOCATION,4,"My left My 's home in Kansas When My was very young, My landed in the old Northwest, Seattle, Washington Although My 'd a-traveled many miles, My never made a friend, For My could never get along in life With people that My met.",474,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Ballad_Of_Donald_White.txt"")"
Seattle,CITY,4,"My left My 's home in Kansas When My was very young, My landed in the old Northwest, Seattle, Washington Although My 'd a-traveled many miles, My never made a friend, For My could never get along in life With people that My met.",474,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Ballad_Of_Donald_White.txt"")"
Washington,STATE_OR_PROVINCE,4,"My left My 's home in Kansas When My was very young, My landed in the old Northwest, Seattle, Washington Although My 'd a-traveled many miles, My never made a friend, For My could never get along in life With people that My met.",474,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Ballad_Of_Donald_White.txt"")"
Corrina,LOCATION,1,"Corrina, Corrina, Gal, where you been so long?",476,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Corrina,_Corrina.txt"")"
Corrina,LOCATION,2,"Corrina, Corrina, Gal, where you been so long?",476,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Corrina,_Corrina.txt"")"
Buffalo,CITY,6,"There was Ragshag Bill from Buffalo, I never will forget he would roar all day and he 'd roar all night and I guess he 's roaring yet One day he fell in a prospect hole, in a roaring bad design And in that hole he roared out he soul, in the days of '49 In the days of old, in the days of gold How oft' times I repine for the days of old When we dug up the gold, in the days of' 49.",479,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Days_Of_49.txt"")"
England,COUNTRY,1,"You may be an ambassador to England or France, You may like to gamble, You might like to dance, You may be the heavyweight champion of the world, You may be a socialite with a long string of pearls[ Chorus :] But You 're gon na have to serve somebody, yes Indeed You 're gon na have to serve somebody, Well, it may be the devil or it may be the Lord But You 're gon na have to serve somebody.",482,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Gotta_Serve_Somebody.txt"")"
France,COUNTRY,1,"You may be an ambassador to England or France, You may like to gamble, You might like to dance, You may be the heavyweight champion of the world, You may be a socialite with a long string of pearls[ Chorus :] But You 're gon na have to serve somebody, yes Indeed You 're gon na have to serve somebody, Well, it may be the devil or it may be the Lord But You 're gon na have to serve somebody.",482,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_Gotta_Serve_Somebody.txt"")"
New Orleans,CITY,1,"There is a house down in New Orleans They call the rising sun And a house down in New Orleans 's been the ruin of many poor girl And me, oh God, me 'm one.",485,"=hyperlink(""C:\Users\rpilo\Downloads\orpheus\dataset\output\coref_CoreNLP_minified_corpus\coref\Bob_Dylan_House_Of_The_Rising_Sun.txt"")"
